country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Lesotho,LSO,2024,0.603040644,0.323642298,0.524873385,0.5565034
Lesotho,LSO,2024,0.705238597,0.417612117,0.60436488,0.61790561
Liberia,LBR,2024,0.463700623,0.141643235,0.415262556,0.427993932
Liberia,LBR,2024,0.619014438,0.134173233,0.574805531,0.575690209
Malawi,MWI,2024,0.490076608,0.120663537,0.460966944,0.463414482
Malawi,MWI,2024,0.626391125,0.154725598,0.591325684,0.594591255
Malaysia,MYS,2024,0.876601404,0.856351154,0.391709215,0.622691771
Malaysia,MYS,2024,0.89588584,0.885287086,0.491415796,0.683656505
Mali,MLI,2024,0.524777238,0.15830133,0.451741966,0.48736107
Mali,MLI,2024,0.616737149,0.264439442,0.58204948,0.594210183
Mauritius,MUS,2024,0.895294265,0.894013267,0.097632918,0.627729605
Mauritius,MUS,2024,0.897150485,0.897150485,0.10741605,0.63822393
Mexico,MEX,2024,0.471002117,0.467300742,0.073268792,0.239824103
Mexico,MEX,2024,0.572480244,0.564111341,0.126481114,0.418352649
Mongolia,MNG,2024,0.987882881,0.987882881,0.587046034,0.960516066
Mongolia,MNG,2024,0.976461532,0.975098412,0.70641349,0.963951683
Mozambique,MOZ,2024,0.481502728,0.210846359,0.394524971,0.431850504
Mozambique,MOZ,2024,0.76958777,0.395636144,0.684156667,0.731394819
Namibia,NAM,2024,0.705024767,0.586031872,0.460069794,0.632825654
Namibia,NAM,2024,0.825236445,0.789725775,0.581479867,0.772753059
Nepal,NPL,2024,0.595585426,0.572018497,0.079677034,0.148150599
Nepal,NPL,2024,0.620085377,0.590359958,0.227826161,0.307107402
Nigeria,NGA,2024,0.557511939,0.520256961,0.284918479,0.475421982
Nigeria,NGA,2024,0.716348619,0.683151231,0.3758385,0.593900265
Pakistan,PAK,2024,0.210630904,0.121589085,0.139849127,0.148951413646236
Pakistan,PAK,2024,0.329357547,0.238209682,0.223146544,0.243302131
Panama,PAN,2024,0.558745139,0.53091912,0.264968437,0.371592745
Panama,PAN,2024,0.738638027,0.701082205,0.517858591,0.630933686
Paraguay,PRY,2024,0.575761747,0.41957784,0.34776391,0.436489875
Paraguay,PRY,2024,0.658082988,0.508032367,0.376644927,0.525549021
Peru,PER,2024,0.556652117,0.482538655,0.344909702,0.396695096
Peru,PER,2024,0.623240615,0.511233492,0.491186206,0.547925769
Philippines,PHL,2024,0.464553947,0.326049638,0.21018746,0.252419757
Philippines,PHL,2024,0.56572578,0.351316138,0.421413108,0.456160397
Saudi Arabia,SAU,2024,0.767604121,0.767604121,0.334558761,0.723163403
Saudi Arabia,SAU,2024,0.790898798,0.780966215,0.368655921,0.74911454
Senegal,SEN,2024,0.734375029,0.463685024,0.617530232,0.696975255
Senegal,SEN,2024,0.797443358,0.498752472,0.725159563156414,0.777617702
Sierra Leone,SLE,2024,0.302343703,0.102217029,0.261503947,0.273210245
Sierra Leone,SLE,2024,0.540102669,0.238066598,0.43289744,0.457541651
South Africa,ZAF,2024,0.776958579,0.752473037,0.268744682,0.646930493
South Africa,ZAF,2024,0.845047839,0.815711129,0.363009272,0.707796042
Tajikistan,TJK,2024,0.554681524,0.538921814,0.143650619,0.271070547
Tajikistan,TJK,2024,0.522499238,0.490826565,0.145860435,0.297859483
Tanzania,TZA,2024,0.558853723,0.187368014,0.490017662,0.514242614
Tanzania,TZA,2024,0.770311975,0.359412392,0.696651749,0.707945931
Thailand,THA,2024,0.923216671,0.914816224,0.367459375,0.676353266
Thailand,THA,2024,0.90716247,0.903092114,0.526856767,0.727913872
Togo,TGO,2024,0.528711175,0.25474071,0.462269939,0.486054845
